step,time,angle
290,2.9,6.17664
291,2.91,6.17543
292,2.92,6.17413
293,2.93,6.17271
294,2.94,6.17118
295,2.95,6.16955
296,2.96,6.1678
297,2.97,6.16595
298,2.98,6.16397
299,2.99,6.16188
300,3,6.15968
301,3.01,6.15735
302,3.02,6.15489
303,3.03,6.15232
304,3.04,6.14961
305,3.05,6.14677
306,3.06,6.1438
307,3.07,6.1407
308,3.08,6.13745
309,3.09,6.13406
310,3.1,6.13053
311,3.11,6.12685
312,3.12,6.12301
313,3.13,6.11902
314,3.14,6.11487
315,3.15,6.11055
316,3.16,6.10606
317,3.17,6.10141
318,3.18,6.09657
319,3.19,6.09155
320,3.2,6.08635
321,3.21,6.08095
322,3.22,6.07536
323,3.23,6.06956
324,3.24,6.06356
325,3.25,6.05734
326,3.26,6.05091
327,3.27,6.04424
328,3.28,6.03735
329,3.29,6.03021
330,3.3,6.02283
331,3.31,6.0152
332,3.32,6.00731
333,3.33,5.99915
334,3.34,5.99072
335,3.35,5.982
336,3.36,5.97299
337,3.37,5.96369
338,3.38,5.95407
339,3.39,5.94414
340,3.4,5.93388
341,3.41,5.92329
342,3.42,5.91235
343,3.43,5.90105
344,3.44,5.88939
345,3.45,5.87735
346,3.46,5.86493
347,3.47,5.85211
348,3.48,5.83887
349,3.49,5.82522
350,3.5,5.81113
351,3.51,5.79659
352,3.52,5.7816
353,3.53,5.76614
354,3.54,5.75019
355,3.55,5.73374
356,3.56,5.71678
357,3.57,5.69929
358,3.58,5.68126
359,3.59,5.66268
360,3.6,5.64353
361,3.61,5.62379
362,3.62,5.60345
363,3.63,5.58249
364,3.64,5.5609
365,3.65,5.53866
366,3.66,5.51576
367,3.67,5.49217
368,3.68,5.46789
369,3.69,5.4429
370,3.7,5.41717
371,3.71,5.3907
372,3.72,5.36346
373,3.73,5.33544
374,3.74,5.30663
375,3.75,5.277
376,3.76,5.24655
377,3.77,5.21525
378,3.78,5.18309
379,3.79,5.15005
380,3.8,5.11613
381,3.81,5.0813
382,3.82,5.04556
383,3.83,5.0089
384,3.84,4.97129
385,3.85,4.93274
386,3.86,4.89323
387,3.87,4.85275
388,3.88,4.81131
389,3.89,4.76888
390,3.9,4.72548
391,3.91,4.6811
392,3.92,4.63573
393,3.93,4.58939
394,3.94,4.54207
395,3.95,4.49379
396,3.96,4.44455
397,3.97,4.39437
398,3.98,4.34325
399,3.99,4.29121
400,4,4.23829
401,4.01,4.18449
402,4.02,4.12984
403,4.03,4.07437
404,4.04,4.01811
405,4.05,3.9611
406,4.06,3.90338
407,4.07,3.84497
408,4.08,3.78594
409,4.09,3.72631
410,4.1,3.66614
411,4.11,3.60548
412,4.12,3.54438
413,4.13,3.4829
414,4.14,3.42108
415,4.15,3.359
416,4.16,3.29671
417,4.17,3.23426
418,4.18,3.17173
419,4.19,3.10916
420,4.2,3.04662
421,4.21,2.98418
422,4.22,2.9219
423,4.23,2.85982
424,4.24,2.79802
425,4.25,2.73655
426,4.26,2.67547
427,4.27,2.61482
428,4.28,2.55467
429,4.29,2.49507
430,4.3,2.43605
431,4.31,2.37767
432,4.32,2.31997
433,4.33,2.26299
434,4.34,2.20676
435,4.35,2.15132
436,4.36,2.09671
437,4.37,2.04294
438,4.38,1.99004
439,4.39,1.93804
440,4.4,1.88696
441,4.41,1.83681
442,4.42,1.7876
443,4.43,1.73935
444,4.44,1.69207
445,4.45,1.64577
446,4.46,1.60044
447,4.47,1.55609
448,4.48,1.51273
449,4.49,1.47034
450,4.5,1.42893
451,4.51,1.38849
452,4.52,1.34901
453,4.53,1.31049
454,4.54,1.27292
455,4.55,1.23629
456,4.56,1.20058
457,4.57,1.16579
458,4.58,1.1319
459,4.59,1.0989
460,4.6,1.06677
461,4.61,1.0355
462,4.62,1.00508
463,4.63,0.975483
464,4.64,0.946698
465,4.65,0.918709
466,4.66,0.891501
467,4.67,0.865055
468,4.68,0.839356
469,4.69,0.814387
470,4.7,0.790131
471,4.71,0.766573
472,4.72,0.743695
473,4.73,0.721481
474,4.74,0.699915
475,4.75,0.678981
476,4.76,0.658663
477,4.77,0.638945
478,4.78,0.619813
479,4.79,0.60125
480,4.8,0.583243
481,4.81,0.565775
482,4.82,0.548834
483,4.83,0.532404
484,4.84,0.516472
485,4.85,0.501024
486,4.86,0.486048
487,4.87,0.47153
