step,time,angle
290,2.9,0.997395
291,2.91,0.96966
292,2.92,0.942637
293,2.93,0.916314
294,2.94,0.890677
295,2.95,0.865714
296,2.96,0.841411
297,2.97,0.817756
298,2.98,0.794735
299,2.99,0.772334
300,3,0.75054
301,3.01,0.729341
302,3.02,0.708722
303,3.03,0.688672
304,3.04,0.669175
305,3.05,0.65022
306,3.06,0.631794
307,3.07,0.613885
308,3.08,0.596479
309,3.09,0.579564
310,3.1,0.563129
311,3.11,0.547161
312,3.12,0.531649
313,3.13,0.51658
314,3.14,0.501945
315,3.15,0.487732
316,3.16,0.473929
317,3.17,0.460527
318,3.18,0.447515
319,3.19,0.434882
320,3.2,0.42262
321,3.21,0.410717
322,3.22,0.399165
323,3.23,0.387954
324,3.24,0.377076
325,3.25,0.366521
326,3.26,0.356281
327,3.27,0.346348
328,3.28,0.336713
329,3.29,0.327368
330,3.3,0.318307
331,3.31,0.30952
332,3.32,0.301001
333,3.33,0.292743
334,3.34,0.284739
335,3.35,0.276982
336,3.36,0.269465
337,3.37,0.262183
338,3.38,0.255128
339,3.39,0.248296
340,3.4,0.24168
341,3.41,0.235275
342,3.42,0.229074
343,3.43,0.223074
344,3.44,0.217268
345,3.45,0.211652
346,3.46,0.206221
347,3.47,0.200971
348,3.48,0.195896
349,3.49,0.190992
350,3.5,0.186255
351,3.51,0.181682
352,3.52,0.177267
353,3.53,0.173008
354,3.54,0.168901
355,3.55,0.164941
356,3.56,0.161126
357,3.57,0.157452
358,3.58,0.153917
359,3.59,0.150516
360,3.6,0.147247
361,3.61,0.144108
362,3.62,0.141095
363,3.63,0.138206
364,3.64,0.135438
365,3.65,0.132789
366,3.66,0.130257
367,3.67,0.127839
368,3.68,0.125534
369,3.69,0.123339
370,3.7,0.121252
371,3.71,0.119271
372,3.72,0.117396
373,3.73,0.115623
374,3.74,0.113952
375,3.75,0.112382
376,3.76,0.11091
377,3.77,0.109535
378,3.78,0.108257
379,3.79,0.107074
380,3.8,0.105986
381,3.81,0.10499
382,3.82,0.104087
383,3.83,0.103275
384,3.84,0.102554
385,3.85,0.101923
386,3.86,0.101382
387,3.87,0.10093
388,3.88,0.100566
389,3.89,0.100291
390,3.9,0.100105
391,3.91,0.100006
392,3.92,0.0999953
393,3.93,0.100073
394,3.94,0.100238
395,3.95,0.100491
396,3.96,0.100833
397,3.97,0.101263
398,3.98,0.101783
399,3.99,0.102392
400,4,0.10309
401,4.01,0.10388
402,4.02,0.104761
403,4.03,0.105734
404,4.04,0.1068
405,4.05,0.10796
406,4.06,0.109215
407,4.07,0.110566
408,4.08,0.112014
409,4.09,0.11356
410,4.1,0.115206
411,4.11,0.116954
412,4.12,0.118804
413,4.13,0.120759
414,4.14,0.122819
415,4.15,0.124988
416,4.16,0.127267
417,4.17,0.129657
418,4.18,0.132161
419,4.19,0.134781
420,4.2,0.13752
421,4.21,0.140379
422,4.22,0.143361
423,4.23,0.14647
424,4.24,0.149707
425,4.25,0.153075
426,4.26,0.156577
427,4.27,0.160217
428,4.28,0.163997
429,4.29,0.167921
430,4.3,0.171992
431,4.31,0.176214
432,4.32,0.18059
433,4.33,0.185125
434,4.34,0.189821
435,4.35,0.194684
436,4.36,0.199717
437,4.37,0.204924
