step,time,angle
274,2.74,-0.250402
275,2.75,-0.255581
276,2.76,-0.260497
277,2.77,-0.265144
278,2.78,-0.269518
279,2.79,-0.273615
280,2.8,-0.277429
281,2.81,-0.280958
282,2.82,-0.284196
283,2.83,-0.287141
284,2.84,-0.289789
285,2.85,-0.292138
286,2.86,-0.294186
287,2.87,-0.295929
288,2.88,-0.297367
289,2.89,-0.298498
290,2.9,-0.29932
291,2.91,-0.299832
292,2.92,-0.300035
293,2.93,-0.299928
294,2.94,-0.29951
295,2.95,-0.298783
296,2.96,-0.297747
297,2.97,-0.296404
298,2.98,-0.294754
299,2.99,-0.2928
300,3,-0.290543
301,3.01,-0.287986
302,3.02,-0.285132
303,3.03,-0.281984
304,3.04,-0.278544
305,3.05,-0.274817
306,3.06,-0.270807
307,3.07,-0.266517
308,3.08,-0.261953
309,3.09,-0.257119
310,3.1,-0.252021
311,3.11,-0.246662
312,3.12,-0.241051
313,3.13,-0.235191
314,3.14,-0.229089
315,3.15,-0.222752
316,3.16,-0.216186
317,3.17,-0.209398
318,3.18,-0.202396
319,3.19,-0.195185
320,3.2,-0.187775
321,3.21,-0.180172
322,3.22,-0.172385
323,3.23,-0.164421
324,3.24,-0.156289
325,3.25,-0.147997
326,3.26,-0.139554
327,3.27,-0.130968
328,3.28,-0.122248
329,3.29,-0.113403
330,3.3,-0.104443
331,3.31,-0.0953756
332,3.32,-0.0862112
333,3.33,-0.0769589
334,3.34,-0.067628
335,3.35,-0.0582282
336,3.36,-0.048769
337,3.37,-0.0392601
338,3.38,-0.0297112
339,3.39,-0.020132
340,3.4,-0.0105323
341,3.41,-0.00092185
342,3.42,0.00868953
343,3.43,0.0182921
344,3.44,0.027876
345,3.45,0.0374314
346,3.46,0.0469488
347,3.47,0.0564182
348,3.48,0.0658302
349,3.49,0.075175
350,3.5,0.0844432
351,3.51,0.0936252
352,3.52,0.102712
353,3.53,0.111693
354,3.54,0.120561
355,3.55,0.129305
356,3.56,0.137918
357,3.57,0.146389
358,3.58,0.154711
359,3.59,0.162874
360,3.6,0.170871
361,3.61,0.178693
362,3.62,0.186331
363,3.63,0.193779
364,3.64,0.201029
365,3.65,0.208072
366,3.66,0.214901
367,3.67,0.22151
368,3.68,0.227892
369,3.69,0.234039
370,3.7,0.239946
371,3.71,0.245606
372,3.72,0.251013
373,3.73,0.256162
374,3.74,0.261047
375,3.75,0.265663
376,3.76,0.270006
377,3.77,0.27407
378,3.78,0.277851
379,3.79,0.281346
380,3.8,0.284551
381,3.81,0.287462
382,3.82,0.290076
383,3.83,0.29239
384,3.84,0.294403
385,3.85,0.296111
386,3.86,0.297514
387,3.87,0.298608
388,3.88,0.299395
389,3.89,0.299872
390,3.9,0.300039
391,3.91,0.299895
392,3.92,0.299442
393,3.93,0.298679
394,3.94,0.297608
395,3.95,0.296229
396,3.96,0.294544
397,3.97,0.292555
398,3.98,0.290263
399,3.99,0.287672
400,4,0.284783
401,4.01,0.281601
402,4.02,0.278128
403,4.03,0.274369
404,4.04,0.270326
405,4.05,0.266004
406,4.06,0.261409
407,4.07,0.256544
408,4.08,0.251415
409,4.09,0.246027
410,4.1,0.240386
411,4.11,0.234498
412,4.12,0.228369
413,4.13,0.222005
414,4.14,0.215414
415,4.15,0.208601
416,4.16,0.201574
417,4.17,0.19434
418,4.18,0.186907
419,4.19,0.179282
420,4.2,0.171474
421,4.21,0.163491
422,4.22,0.15534
423,4.23,0.14703
424,4.24,0.138569
425,4.25,0.129968
426,4.26,0.121233
427,4.27,0.112374
428,4.28,0.103401
429,4.29,0.0943223
430,4.3,0.0851473
431,4.31,0.0758854
432,4.32,0.0665461
433,4.33,0.0571389
434,4.34,0.0476735
435,4.35,0.0381595
436,4.36,0.0286066
437,4.37,0.0190245
438,4.38,0.00942306
439,4.39,-0.00018799
440,4.4,-0.00979885
441,4.41,-0.0193997
442,4.42,-0.0289808
443,4.43,-0.0385324
444,4.44,-0.0480447
445,4.45,-0.057508
446,4.46,-0.0669127
447,4.47,-0.0762492
448,4.48,-0.0855079
449,4.49,-0.0946793
450,4.5,-0.103754
451,4.51,-0.112723
452,4.52,-0.121577
453,4.53,-0.130307
454,4.54,-0.138903
455,4.55,-0.147358
456,4.56,-0.155661
457,4.57,-0.163806
458,4.58,-0.171783
459,4.59,-0.179584
460,4.6,-0.187201
461,4.61,-0.194627
462,4.62,-0.201852
463,4.63,-0.208871
464,4.64,-0.215676
465,4.65,-0.222259
466,4.66,-0.228613
467,4.67,-0.234733
468,4.68,-0.240612
469,4.69,-0.246243
470,4.7,-0.251621
471,4.71,-0.256739
472,4.72,-0.261594
473,4.73,-0.266179
474,4.74,-0.270489
475,4.75,-0.274521
476,4.76,-0.27827
477,4.77,-0.281731
478,4.78,-0.284902
479,4.79,-0.287779
480,4.8,-0.290358
481,4.81,-0.292638
482,4.82,-0.294616
483,4.83,-0.296289
484,4.84,-0.297656
485,4.85,-0.298715
486,4.86,-0.299466
487,4.87,-0.299907
488,4.88,-0.300038
489,4.89,-0.299859
490,4.9,-0.29937
491,4.91,-0.298571
492,4.92,-0.297464
493,4.93,-0.29605
494,4.94,-0.29433
495,4.95,-0.292305
496,4.96,-0.289979
497,4.97,-0.287353
498,4.98,-0.284431
499,4.99,-0.281215
