step,time,angle
290,2.9,0.516948
291,2.91,0.508109
292,2.92,0.499494
293,2.93,0.491098
294,2.94,0.48292
295,2.95,0.474956
296,2.96,0.467203
297,2.97,0.459658
298,2.98,0.452319
299,2.99,0.445182
300,3,0.438245
301,3.01,0.431505
302,3.02,0.42496
303,3.03,0.418606
304,3.04,0.412443
305,3.05,0.406466
306,3.06,0.400674
307,3.07,0.395064
308,3.08,0.389634
309,3.09,0.384382
310,3.1,0.379305
311,3.11,0.374402
312,3.12,0.369671
313,3.13,0.36511
314,3.14,0.360716
315,3.15,0.356488
316,3.16,0.352424
317,3.17,0.348522
318,3.18,0.344781
319,3.19,0.3412
320,3.2,0.337776
321,3.21,0.334508
322,3.22,0.331395
323,3.23,0.328436
324,3.24,0.325628
325,3.25,0.322972
326,3.26,0.320466
327,3.27,0.318108
328,3.28,0.315899
329,3.29,0.313836
330,3.3,0.311919
331,3.31,0.310147
332,3.32,0.308519
333,3.33,0.307035
334,3.34,0.305694
335,3.35,0.304495
336,3.36,0.303439
337,3.37,0.302523
338,3.38,0.301749
339,3.39,0.301115
340,3.4,0.300622
341,3.41,0.300269
342,3.42,0.300056
343,3.43,0.299983
344,3.44,0.300049
345,3.45,0.300256
346,3.46,0.300603
347,3.47,0.301089
348,3.48,0.301717
349,3.49,0.302485
350,3.5,0.303394
351,3.51,0.304444
352,3.52,0.305636
353,3.53,0.30697
354,3.54,0.308448
355,3.55,0.310069
356,3.56,0.311834
357,3.57,0.313744
358,3.58,0.315801
359,3.59,0.318004
360,3.6,0.320354
361,3.61,0.322854
362,3.62,0.325503
363,3.63,0.328304
364,3.64,0.331256
365,3.65,0.334362
366,3.66,0.337622
367,3.67,0.341039
368,3.68,0.344614
369,3.69,0.348347
370,3.7,0.352241
371,3.71,0.356298
372,3.72,0.360518
373,3.73,0.364904
374,3.74,0.369458
375,3.75,0.374182
376,3.76,0.379077
377,3.77,0.384145
378,3.78,0.389389
379,3.79,0.394811
380,3.8,0.400412
381,3.81,0.406196
382,3.82,0.412164
383,3.83,0.41832
384,3.84,0.424664
385,3.85,0.431201
386,3.86,0.437931
387,3.87,0.444859
388,3.88,0.451987
389,3.89,0.459317
390,3.9,0.466852
391,3.91,0.474596
392,3.92,0.48255
393,3.93,0.490719
394,3.94,0.499104
395,3.95,0.507709
396,3.96,0.516538
397,3.97,0.525592
398,3.98,0.534876
399,3.99,0.544393
400,4,0.554145
401,4.01,0.564137
402,4.02,0.574371
403,4.03,0.584851
404,4.04,0.59558
405,4.05,0.606561
406,4.06,0.617799
407,4.07,0.629296
408,4.08,0.641055
409,4.09,0.653081
410,4.1,0.665376
411,4.11,0.677945
412,4.12,0.690789
413,4.13,0.703913
414,4.14,0.717321
415,4.15,0.731014
416,4.16,0.744997
417,4.17,0.759272
418,4.18,0.773843
419,4.19,0.788713
420,4.2,0.803884
421,4.21,0.81936
422,4.22,0.835143
423,4.23,0.851236
424,4.24,0.867641
425,4.25,0.88436
426,4.26,0.901396
427,4.27,0.91875
428,4.28,0.936425
429,4.29,0.954422
430,4.3,0.972742
431,4.31,0.991387
432,4.32,1.01036
433,4.33,1.02965
434,4.34,1.04927
435,4.35,1.06922
436,4.36,1.08949
437,4.37,1.11009
438,4.38,1.13101
439,4.39,1.15226
440,4.4,1.17382
441,4.41,1.1957
442,4.42,1.2179
443,4.43,1.24041
444,4.44,1.26322
445,4.45,1.28634
446,4.46,1.30976
447,4.47,1.33347
448,4.48,1.35747
449,4.49,1.38174
450,4.5,1.40629
451,4.51,1.43111
452,4.52,1.45618
453,4.53,1.4815
454,4.54,1.50705
455,4.55,1.53283
456,4.56,1.55882
457,4.57,1.58502
